modalidade,song_id,quadrant,path_esperado
bimodal_balanced_lyrics,A102-114,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A102-114.txt
bimodal_balanced_lyrics,A103-99,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A103-99.txt
bimodal_balanced_lyrics,A105-117,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A105-117.txt
bimodal_balanced_lyrics,A106-100,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A106-100.txt
bimodal_balanced_lyrics,A107-115,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A107-115.txt
bimodal_balanced_lyrics,A114-120,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A114-120.txt
bimodal_balanced_lyrics,A115-84,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A115-84.txt
bimodal_balanced_lyrics,A117-76,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A117-76.txt
bimodal_balanced_lyrics,A120-168,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A120-168.txt
bimodal_balanced_lyrics,A126-77,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A126-77.txt
bimodal_balanced_lyrics,A127-133,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A127-133.txt
bimodal_balanced_lyrics,A128-109,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A128-109.txt
bimodal_balanced_lyrics,A130-162,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A130-162.txt
bimodal_balanced_lyrics,A134-142,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A134-142.txt
bimodal_balanced_lyrics,A143-72,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A143-72.txt
bimodal_balanced_lyrics,A145-134,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A145-134.txt
bimodal_balanced_lyrics,A146-118,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A146-118.txt
bimodal_balanced_lyrics,A148-102,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A148-102.txt
bimodal_balanced_lyrics,A151-172,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A151-172.txt
bimodal_balanced_lyrics,A152-108,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A152-108.txt
bimodal_balanced_lyrics,A157-71,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A157-71.txt
bimodal_balanced_lyrics,A160-149,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A160-149.txt
bimodal_balanced_lyrics,A167,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A167.txt
bimodal_balanced_lyrics,A168,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A168.txt
bimodal_balanced_lyrics,A170,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A170.txt
bimodal_balanced_lyrics,A171,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A171.txt
bimodal_balanced_lyrics,A172,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A172.txt
bimodal_balanced_lyrics,A174,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A174.txt
bimodal_balanced_lyrics,A176,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A176.txt
bimodal_balanced_lyrics,A178,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A178.txt
bimodal_balanced_lyrics,A182,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A182.txt
bimodal_balanced_lyrics,A183,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A183.txt
bimodal_balanced_lyrics,A187,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A187.txt
bimodal_balanced_lyrics,A188,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A188.txt
bimodal_balanced_lyrics,A191,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A191.txt
bimodal_balanced_lyrics,A195,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A195.txt
bimodal_balanced_lyrics,A196,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A196.txt
bimodal_complete_lyrics,A001,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A001.txt
bimodal_complete_lyrics,A002,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A002.txt
bimodal_complete_lyrics,A003,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A003.txt
bimodal_complete_lyrics,A004,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A004.txt
bimodal_complete_lyrics,A005,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A005.txt
bimodal_complete_lyrics,A010,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A010.txt
bimodal_complete_lyrics,A011,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A011.txt
bimodal_complete_lyrics,A013,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A013.txt
bimodal_complete_lyrics,A014,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A014.txt
bimodal_complete_lyrics,A017,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A017.txt
bimodal_complete_lyrics,A018,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A018.txt
bimodal_complete_lyrics,A019,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A019.txt
bimodal_complete_lyrics,A020,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A020.txt
bimodal_complete_lyrics,A021,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A021.txt
bimodal_complete_lyrics,A022,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A022.txt
bimodal_complete_lyrics,A023,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A023.txt
bimodal_complete_lyrics,A024,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A024.txt
bimodal_complete_lyrics,A025,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A025.txt
bimodal_complete_lyrics,A028,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A028.txt
bimodal_complete_lyrics,A029,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A029.txt
bimodal_complete_lyrics,A030,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A030.txt
bimodal_complete_lyrics,A032,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A032.txt
bimodal_complete_lyrics,A034,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A034.txt
bimodal_complete_lyrics,A035,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A035.txt
bimodal_complete_lyrics,A038,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A038.txt
bimodal_complete_lyrics,A039,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A039.txt
bimodal_complete_lyrics,A042,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A042.txt
bimodal_complete_lyrics,A043,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A043.txt
bimodal_complete_lyrics,A045,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A045.txt
bimodal_complete_lyrics,A047,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A047.txt
bimodal_complete_lyrics,A048,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A048.txt
bimodal_complete_lyrics,A049,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A049.txt
bimodal_complete_lyrics,A050,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A050.txt
bimodal_complete_lyrics,A051,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A051.txt
bimodal_complete_lyrics,A052,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A052.txt
bimodal_complete_lyrics,A055,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A055.txt
bimodal_complete_lyrics,A058,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A058.txt
bimodal_complete_lyrics,A060,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A060.txt
bimodal_complete_lyrics,A061-66,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A061-66.txt
bimodal_complete_lyrics,A062-170,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A062-170.txt
bimodal_complete_lyrics,A063-90,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A063-90.txt
bimodal_complete_lyrics,A064-116,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A064-116.txt
bimodal_complete_lyrics,A066-140,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A066-140.txt
bimodal_complete_lyrics,A067-104,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A067-104.txt
bimodal_complete_lyrics,A068-167,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A068-167.txt
bimodal_complete_lyrics,A071-70,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A071-70.txt
bimodal_complete_lyrics,A073-143,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A073-143.txt
bimodal_complete_lyrics,A074-91,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A074-91.txt
bimodal_complete_lyrics,A077-122,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A077-122.txt
bimodal_complete_lyrics,A078-173,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A078-173.txt
bimodal_complete_lyrics,A080-92,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A080-92.txt
bimodal_complete_lyrics,A081-67,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A081-67.txt
bimodal_complete_lyrics,A082-93,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A082-93.txt
bimodal_complete_lyrics,A083-158,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A083-158.txt
bimodal_complete_lyrics,A084-75,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A084-75.txt
bimodal_complete_lyrics,A085-69,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A085-69.txt
bimodal_complete_lyrics,A086-123,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A086-123.txt
bimodal_complete_lyrics,A087-165,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A087-165.txt
bimodal_complete_lyrics,A088-136,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A088-136.txt
bimodal_complete_lyrics,A090-94,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A090-94.txt
bimodal_complete_lyrics,A091-95,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A091-95.txt
bimodal_complete_lyrics,A092-96,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A092-96.txt
bimodal_complete_lyrics,A094-110,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A094-110.txt
bimodal_complete_lyrics,A095-113,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A095-113.txt
bimodal_complete_lyrics,A096-68,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A096-68.txt
bimodal_complete_lyrics,A097-152,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A097-152.txt
bimodal_complete_lyrics,A098-154,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A098-154.txt
bimodal_complete_lyrics,A100-124,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A100-124.txt
bimodal_complete_lyrics,A101-111,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A101-111.txt
bimodal_complete_lyrics,A102-114,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A102-114.txt
bimodal_complete_lyrics,A103-99,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A103-99.txt
bimodal_complete_lyrics,A104-119,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A104-119.txt
bimodal_complete_lyrics,A105-117,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A105-117.txt
bimodal_complete_lyrics,A106-100,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A106-100.txt
bimodal_complete_lyrics,A107-115,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A107-115.txt
bimodal_complete_lyrics,A109-138,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A109-138.txt
bimodal_complete_lyrics,A111-141,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A111-141.txt
bimodal_complete_lyrics,A114-120,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A114-120.txt
bimodal_complete_lyrics,A115-84,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A115-84.txt
bimodal_complete_lyrics,A116-135,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A116-135.txt
bimodal_complete_lyrics,A117-76,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A117-76.txt
bimodal_complete_lyrics,A119-151,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A119-151.txt
bimodal_complete_lyrics,A120-168,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A120-168.txt
bimodal_complete_lyrics,A126-77,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A126-77.txt
bimodal_complete_lyrics,A127-133,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A127-133.txt
bimodal_complete_lyrics,A128-109,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A128-109.txt
bimodal_complete_lyrics,A130-162,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A130-162.txt
bimodal_complete_lyrics,A131-101,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A131-101.txt
bimodal_complete_lyrics,A132-121,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A132-121.txt
bimodal_complete_lyrics,A134-142,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A134-142.txt
bimodal_complete_lyrics,A136-97,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A136-97.txt
bimodal_complete_lyrics,A137-153,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A137-153.txt
bimodal_complete_lyrics,A140-166,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A140-166.txt
bimodal_complete_lyrics,A141-139,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A141-139.txt
bimodal_complete_lyrics,A142-98,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A142-98.txt
bimodal_complete_lyrics,A143-72,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A143-72.txt
bimodal_complete_lyrics,A145-134,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A145-134.txt
bimodal_complete_lyrics,A146-118,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A146-118.txt
bimodal_complete_lyrics,A147-169,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A147-169.txt
bimodal_complete_lyrics,A148-102,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A148-102.txt
bimodal_complete_lyrics,A150-132,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A150-132.txt
bimodal_complete_lyrics,A151-172,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A151-172.txt
bimodal_complete_lyrics,A152-108,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A152-108.txt
bimodal_complete_lyrics,A153-130,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A153-130.txt
bimodal_complete_lyrics,A157-71,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A157-71.txt
bimodal_complete_lyrics,A159-164,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A159-164.txt
bimodal_complete_lyrics,A160-149,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A160-149.txt
bimodal_complete_lyrics,A162,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A162.txt
bimodal_complete_lyrics,A165,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A165.txt
bimodal_complete_lyrics,A166,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A166.txt
bimodal_complete_lyrics,A167,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A167.txt
bimodal_complete_lyrics,A168,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A168.txt
bimodal_complete_lyrics,A170,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A170.txt
bimodal_complete_lyrics,A171,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A171.txt
bimodal_complete_lyrics,A172,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A172.txt
bimodal_complete_lyrics,A174,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A174.txt
bimodal_complete_lyrics,A176,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A176.txt
bimodal_complete_lyrics,A177,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A177.txt
bimodal_complete_lyrics,A178,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A178.txt
bimodal_complete_lyrics,A179,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A179.txt
bimodal_complete_lyrics,A182,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A182.txt
bimodal_complete_lyrics,A183,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A183.txt
bimodal_complete_lyrics,A186,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A186.txt
bimodal_complete_lyrics,A187,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A187.txt
bimodal_complete_lyrics,A188,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A188.txt
bimodal_complete_lyrics,A190,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A190.txt
bimodal_complete_lyrics,A191,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A191.txt
bimodal_complete_lyrics,A192,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A192.txt
bimodal_complete_lyrics,A193,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A193.txt
bimodal_complete_lyrics,A194,Q2,../data/bimodal/bimodal_complete/lyrics\Q2\A194.txt
bimodal_complete_lyrics,A195,Q3,../data/bimodal/bimodal_complete/lyrics\Q3\A195.txt
bimodal_complete_lyrics,A196,Q1,../data/bimodal/bimodal_complete/lyrics\Q1\A196.txt
bimodal_complete_lyrics,A198,Q4,../data/bimodal/bimodal_complete/lyrics\Q4\A198.txt
